type,count,name,ambiguous,id,page
3,2,kogurein,False,12668,0
4,1,noki_welkin,True,19899,0
4,1,norita_mado,False,20127,0
4,1,kyrie_(quilt),True,20163,0
1,1,kyomachi,True,20171,0
1,1,olinca,True,20228,0
4,1,elesia_prisis,False,20341,0
4,1,omamoringosan,False,20372,0
1,1,kyuon_hon,True,20387,0
1,1,mota_(pixiv),False,20448,0
3,1,ex-gear,True,20493,0
1,2,rei_hisashina,False,20073,0
3,1,hourglass_of_summer,False,20513,0
4,1,kawamura_mana,False,20514,0
3,1,fukunishi_masahiko,False,20557,0
3,1,chi_machi_matsu,False,20599,0
4,1,nishina_rie,False,20676,0
4,1,sugisaka,False,20677,0
1,1,saku_nya,True,20678,0
1,1,dopollsogno,True,20679,0
1,1,john_inu,False,20692,0
4,1,shion_(relict2),False,20845,0
1,2,mubouou_aasaa,False,20749,0
1,1,hamo_tosaka,False,20878,0
4,1,christine_russell,False,20891,0
3,1,ko.ko.ro...,False,20892,0
1,1,rokumonsen_kako,False,20898,0
1,3,takatori_(tnko),True,15609,0
1,1,taisyou,False,20933,0
3,1,katsuragi_yuuri,False,20983,0
4,1,sakibara_izumi,False,21120,0
1,1,kara_kasa,False,21132,0
4,1,iie-tan,False,21154,0
1,1,muraji,False,21170,0
1,1,minase_(mmakina),False,21212,0
1,1,petapann,True,21218,0
4,1,kamimura_natsuki,False,21270,0
1,1,ameco,True,21407,0
1,1,hirono_mamoru,False,21418,0
1,1,honami_yuu,False,21489,0
1,2,shimizu_kokeshi,True,12812,0
1,1,notequal,False,21506,0
3,1,rangeman,False,21556,0
4,1,sakurai_yuki,False,21557,0
1,1,yuuma_(yuusaikaden),False,21559,0
4,1,setsugekka_(snow_fox),False,20128,0
1,1,kasaiji,False,21657,0
4,1,shiden_(ne~pon?_x_rai_pon!),False,21665,0
4,2,mapputatsu_tsubaki,False,21673,0
4,1,sicile_volta,False,21826,0
4,1,kirisaki_shiruku,False,21837,0
4,1,tamaki_no_hoken_nyuumon,True,21909,0
1,2,hanta_bonjin,False,21913,0
4,2,misato_miku,False,18181,0
1,1,renten,False,21977,0
3,1,ayatsuri_no_kyoushitsu,False,22079,0
4,1,harukaze_yuuna,False,22080,0
1,2,honda_kikyou,False,22084,0
4,1,kukurui_maria,False,22090,0
1,1,burarishio,False,22107,0
